,,,,,Загальна інформація,,,,Надходження до місцевих бюджетів (загальний фонд),,,,,,,Частка місцевих податків в дохідній частині бюджету загального фонду ,,,,,,ПДФО та індекс податковспроможності,,,,,,,Акциз,,,,,,Плата за землю,,,,,,Єдиний податок,,,,,,Частка витрати на оплату праці загальнодержавних функцій,,,,,
Кіровоградська область,Кропивницький район,Знам’янська,міська територіальна громада,UA35040130000021732,,28.584,28.234,113.1,288512.1758,252494.945,-12.5%,54780.55163,60955.29813,50-100,11.3%,11.34023981,14.23903446,15.1,16.01,10-20,6.0%,1.825146778,32650,0,5695.920984,1.767245739,32265.1,0,447.6086678,514.3915989,103.1,98.6,50-100,-4.3%,609.2300783,670.7384172,100.24,97.34,50-100,-2.9%,477.5224727,526.5560604,127.5,158.85,100-200,24.6%,10.83,14.77,15.1%,15.5%,10-20,2.3%
Житомирська область,Коростенський район,Олевська,міська територіальна громада,UA18060190000071101,,34.894,34.587,2144.1,282387.4747,143419.1958,-49.2%,35036.76011,36696.14805,20-50,4.7%,10.23036885,25.66106179,26.79,23.59,20-40,-11.9%,0.476169718,0,37049.1,1486.031217,0.49220997,0,38406.4,181.5709054,262.4081771,53.2,40.9,25-50,-23.1%,319.9368669,470.417237,77.34,51.53,50-100,-33.4%,472.1588984,545.3720444,133.9,144.34,100-200,7.8%,9.85,17.93,16.4%,15.5%,10-20,-5.8%
Дніпропетровська область,Синельниківський район,Першотравенська,міська територіальна громада,UA12140210000089021,,27.892,27.573,2.9,215057.731,172967.267,-19.6%,37652.16903,42007.23977,20-50,11.6%,6.660460958,10.14188205,11.62,9.89,менше 10,-14.9%,1.37224966,13152,0,4282.518936,1.314558486,11145.8,0,107.4657524,108.0550563,36.4,37.1,25-50,2.0%,128.4936703,132.8180425,5.77,4.86,менше 25,-15.7%,305.7199564,401.5388805,114.2,110.77,100-200,-3.0%,13.86,16.56,17.9%,15.5%,10-20,-13.6%
Рівненська область,Рівненський район,Костопільська,міська територіальна громада,UA56060350000045909,,44.304,44.042,653.4,206790.5321,207894.9038,0.5%,47401.07518,50423.99345,50-100,6.4%,23.68108454,28.23908129,27.81,26.88,20-40,-3.3%,0.71087566,0,20969.3,2218.501898,0.747997719,0,18182.6,172.4837248,227.8964844,48.1,41.9,25-50,-12.9%,463.9967316,527.8495967,85.35,85.05,50-100,-0.3%,473.0045764,579.1383838,147.5,169.93,100-200,15.2%,9.67,12.29,11.2%,15.5%,10-20,38.5%
Черкаська область,Черкаський район,Руськополянська,сільська територіальна громада,UA71080350000033809,,13.857,13.793,274,107483.5889,80050.49685,-25.5%,17861.73979,18605.09466,5-20,4.2%,15.82495635,28.12583736,28.66,29.98,20-40,4.6%,0.695951516,0,7107.6,2171.926606,0.679154055,0,8328.5,572.8810199,653.3941265,123.8,103.9,100-200,-16.1%,365.4798136,415.0882177,36.68,29.70,25-50,-19.0%,693.532695,940.8714498,226.2,265.80,200-500,17.5%,13.74,17.40,17.1%,15.5%,10-20,-9.2%
Львівська область,Дрогобицький район,Бориславська,міська територіальна громада,UA46020010000073886,,39.526,39.199,159.2,297595.2282,204489.1814,-31.3%,47470.94662,53872.04933,50-100,13.5%,25.99694703,38.79811384,44.7,36.08,20-40,-19.3%,0.72631842,0,17177.4,2266.695688,0.692308533,0,22144.7,171.2754319,184.9735435,42.8,36.6,25-50,-14.3%,1345.277374,1225.478231,291.76,192.96,100-200,-33.9%,505.7128538,684.2450206,164.9,207.20,200-500,25.7%,11.21,16.76,14.9%,15.6%,10-20,4.6%
Одеська область,Одеський район,Овідіопольська,селищна територіальна громада,UA51100250000055079,,15.477,15.497,238.4,129332.3817,117596.1284,-9.1%,27585.22316,29157.71116,20-50,5.7%,28.56066004,35.09964303,38.27,37.01,20-40,-3.3%,1.096563882,0,0,3422.158316,1.095951651,0,0,497.590095,628.0386133,134.4,104.5,100-200,-22.3%,1415.664141,1552.602667,212.29,226.73,більше 200,6.8%,832.8067428,981.1496168,278.6,302.29,200-500,8.5%,7.03,13.88,10.9%,15.6%,10-20,43.3%
Полтавська область,Миргородський район,Сергіївська,сільська територіальна громада,UA53060310000047988,,2.775,2.72,168.1,33828.93196,54015.20706,59.7%,11526.87455,15190.38784,5-20,31.8%,34.32719574,48.79501891,39.53,35.52,20-40,-10.1%,1.035695522,0,0,3232.200243,1.08013683,0,0,8.674135868,9.936330805,2.5,3.2,менше 25,27.8%,2877.062918,8191.014063,774.92,945.72,більше 200,22.0%,966.5469764,990.6828169,212.1,299.37,200-500,41.2%,25.59,14.43,16.7%,15.6%,10-20,-6.5%
Івано-Франківська область,Калуський район,Калуська,міська територіальна громада,UA26060170000091466,,88.734,88.154,265.5,603668.4672,559812.205,-7.3%,128556.474,144574.2154,більше 100,12.5%,24.47536539,32.88801627,33.21,30.16,20-40,-9.2%,0.925719565,0,0,2888.987101,0.935001521,0,0,407.3673863,443.6175283,100.2,73.9,50-100,-26.3%,928.9853664,1179.952341,60.22,48.03,25-50,-20.2%,629.759969,773.7339071,197.9,232.69,200-500,17.6%,15.66,14.37,14.8%,15.6%,10-20,5.8%
Кіровоградська область,Кропивницький район,Олександрівська,селищна територіальна громада,UA35040250000048915,,25.8,25.281,1155.3,150547.3316,156664.0824,4.1%,31129.9877,36926.16593,20-50,18.6%,29.93348658,29.61029754,34.82,29.99,20-40,-13.9%,0.991279577,0,0,3093.58689,1.017066502,0,0,253.5611978,295.1441006,59.8,53.9,50-100,-9.8%,790.6971293,862.3902977,29.83,30.34,25-50,1.7%,907.1335312,936.997129,233.8,240.83,200-500,3.0%,20.72,19.49,27.7%,15.7%,10-20,-43.5%
Полтавська область,Миргородський район,Шишацька,селищна територіальна громада,UA53060330000036503,,18.696,18.468,754.7,194214.2514,180837.6253,-6.9%,39697.1649,47839.73764,20-50,20.5%,31.82573287,34.93405446,40.71,34.04,20-40,-16.4%,1.364853941,7812.2,0,4259.438363,1.376663154,8790,0,318.7603375,339.9681921,74.2,56.7,50-100,-23.5%,2023.107972,2058.289347,15.54,20.11,менше 25,29.4%,1080.405075,1120.399995,339.5,375.86,200-500,10.7%,15.30,13.31,15.6%,15.7%,10-20,0.6%
Житомирська область,Коростенський район,Коростенська,міська територіальна громада,UA18060090000061708,,73.365,72.582,806.3,559526.0869,499222.5407,-10.8%,108691.4883,111861.7287,більше 100,2.9%,20.20132808,27.75984713,28.72,29.12,20-40,1.4%,1.000689076,0,0,3122.952069,0.970845111,0,0,710.4229,803.9520173,184.7,122.2,100-200,-33.9%,870.0176322,975.2875142,169.12,162.50,100-200,-3.9%,547.9269062,761.2693433,175.4,211.90,200-500,20.8%,12.39,12.61,13.8%,15.7%,10-20,13.8%
Черкаська область,Золотоніський район,Піщанська,сільська територіальна громада,UA71040170000034734,,6.835,6.722,239.5,31236.08085,39334.59513,25.9%,9344.82987,13307.1384,5-20,42.4%,41.88062713,38.46384436,37.77,61.16,більше 40,61.9%,0.633703589,0,4569.5,1977.663175,0.633978718,0,4868.1,542.5619366,666.1705679,126.9,100.9,100-200,-20.5%,1029.732997,1329.266217,17.74,27.84,25-50,56.9%,813.4601106,842.2519232,244.5,274.18,200-500,12.1%,23.00,18.62,16.2%,15.7%,10-20,-3.1%
Донецька область,Покровський район,Гродівська,селищна територіальна громада,UA14160050000083011,,9.685,9.518,340.3,31246.33228,34861.17822,11.6%,6369.50745,17384.82377,5-20,172.9%,39.02328555,35.77207016,38.52,12.76,10-20,-66.9%,0.464751186,0,11923.9,1450.396245,0.472683183,0,12985.4,97.2274738,102.8090981,25.2,19.0,менше 25,-24.6%,411.6983405,412.4199839,15.76,19.07,менше 25,21.0%,672.0030283,651.1164586,164.9,161.40,100-200,-2.1%,28.90,22.04,28.4%,15.7%,10-20,-44.5%
Вінницька область,Вінницький район,Гніванська,міська територіальна громада,UA05020070000010139,,18.834,18.697,244.5,135517.3193,97000.93559,-28.4%,21122.05164,24158.14791,20-50,14.4%,24.92396815,34.85547637,39.45,38.64,20-40,-2.0%,0.734702458,0,7815.9,2292.860605,0.742632594,0,8023.5,273.0013586,320.2134486,65.7,63.6,50-100,-3.3%,1019.429917,919.6017163,134.97,162.38,100-200,20.3%,636.6393674,740.7674949,192.5,213.94,200-500,11.1%,31.04,16.98,18.1%,15.8%,10-20,-13.1%
Житомирська область,Житомирський район,Станишівська,сільська територіальна громада,UA18040490000014752,,16.875,16.84,286.1,116981.6123,112242.771,-4.1%,23243.968,27995.59162,20-50,20.4%,17.93077605,20.62006474,21.36,18.23,10-20,-14.6%,1.012610026,0,0,3160.15499,1.061598385,0,0,706.6321077,875.5054814,151.5,161.9,100-200,6.8%,391.8401027,431.4346576,31.34,34.71,25-50,10.8%,756.671665,833.6714792,190.5,206.04,200-500,8.2%,17.40,16.54,15.8%,15.8%,10-20,0.0%
Миколаївська область,Вознесенський район,Вознесенська,міська територіальна громада,UA48040070000056126,,35.796,35.42,95.8,278660.3849,195830.7167,-29.7%,42050.30627,46281.28094,20-50,10.1%,16.41978928,26.87395802,27.19,26.30,20-40,-3.3%,0.838213022,0,5558.4,2615.896539,0.814557176,0,8259.3,458.920461,548.1318785,118.3,83.3,50-100,-29.6%,515.8033197,528.7031684,29.10,25.03,25-50,-14.0%,656.5457803,813.1867878,188.7,213.23,200-500,13.0%,11.53,13.48,15.8%,15.8%,10-20,0.3%
Дніпропетровська область,Кам'янський район,Вільногірська,міська територіальна громада,UA12040090000029346,,24.008,23.768,151.9,198520.4077,212268.8933,6.9%,49991.12968,52235.02084,50-100,4.5%,22.43198493,28.18403801,30.83,23.73,20-40,-23.0%,1.344690958,9235.7,0,4196.513693,1.413224948,12720.2,0,177.6225623,255.4737944,47.2,48.5,25-50,2.7%,1217.53285,1688.513888,120.97,148.41,100-200,22.7%,433.2198747,534.7827115,149.7,168.70,100-200,12.7%,16.58,13.88,14.4%,15.9%,10-20,10.2%
Харківська область,Чугуївський район,Слобожанська,селищна територіальна громада,UA63140110000087562,,27.172,26.834,572.3,155423.3436,179931.8658,15.8%,40281.53221,39840.16309,20-50,-1.1%,20.75514825,20.78820782,21.67,20.78,20-40,-4.1%,0.948425732,0,0,2959.848541,1.036918334,0,0,164.0451088,214.7743892,47.6,39.0,25-50,-18.2%,418.8907674,494.0740795,47.94,28.56,25-50,-40.4%,579.8213126,700.5446011,178.9,209.30,200-500,17.0%,15.47,18.91,15.5%,15.9%,10-20,2.5%
Чернігівська область,Прилуцький район,Ічнянська,міська територіальна громада,UA74080030000040714,,22.933,22.558,1205.9,172985.281,142812.7803,-17.4%,33359.89448,33207.36909,20-50,-0.5%,21.72598241,30.19313685,30.27,29.66,20-40,-2.0%,1.005650045,0,0,3138.434271,1.066208187,0,0,209.7786167,229.2402029,52.0,41.2,25-50,-20.7%,565.9329253,593.505396,35.43,37.00,25-50,4.4%,964.3053478,1185.1469,278.4,306.28,200-500,10.0%,12.35,15.21,13.9%,15.9%,10-20,15.1%
Хмельницька область,Хмельницький район,Городоцька,міська територіальна громада,UA68040130000024471,,35.321,34.872,772.8,235885.757,161597.4238,-31.5%,35033.51167,41175.5903,20-50,17.5%,20.85103335,32.4432915,35.59,33.99,20-40,-4.5%,0.727235224,0,15295.9,2269.55685,0.72367971,0,16748.7,157.9476781,173.8927132,33.5,22.6,менше 25,-32.6%,640.2867027,618.9021076,20.77,14.81,менше 25,-28.7%,694.0901788,785.4540895,215.3,261.75,200-500,21.6%,12.39,18.27,18.5%,16.0%,10-20,-13.7%
Рівненська область,Дубенський район,Смизька,селищна територіальна громада,UA56040330000091100,,7.524,7.459,192.8,58385.48699,37365.56079,-36.0%,8128.63053,10910.86424,5-20,34.2%,9.659360281,20.97558496,18.92,16.17,10-20,-14.6%,0.958947479,0,0,2992.684826,0.853866911,0,935.1,81.26554804,115.251095,24.2,17.7,менше 25,-27.1%,241.4923501,320.8415837,39.38,38.26,25-50,-2.8%,471.3739371,674.0776841,131.2,169.97,100-200,29.6%,11.56,17.21,20.3%,16.0%,10-20,-21.1%
Черкаська область,Звенигородський район,Тальнівська,міська територіальна громада,UA71020290000032540,,31.874,31.217,916.6,209233.9176,201403.5864,-3.7%,37949.48098,41319.79932,20-50,8.9%,37.66501053,41.75323346,46.02,45.04,більше 40,-2.1%,0.82483512,0,6014.9,2574.146762,0.818257658,0,6960.9,232.1035595,250.7375997,55.3,41.2,25-50,-25.5%,1279.709855,1385.668622,38.62,21.69,менше 25,-43.8%,1129.303974,1223.938079,240.4,306.93,200-500,27.7%,20.87,12.58,20.7%,16.0%,10-20,-22.6%
Рівненська область,Сарненський район,Дубровицька,міська територіальна громада,UA56080070000040721,,34.8,34.625,1094.2,96780.81403,93962.71123,-2.9%,20865.73231,22744.07763,20-50,9.0%,26.34922279,31.52529507,31.24,30.65,20-40,-1.9%,0.389864752,0,44399.8,1216.690542,0.376491874,0,49280.8,147.8066986,169.0786239,31.8,29.9,25-50,-6.1%,247.8898956,268.6857904,26.77,19.04,менше 25,-28.9%,404.4651396,502.0660706,119.7,143.64,100-200,20.0%,23.60,15.86,17.3%,16.0%,10-20,-7.1%
Одеська область,Одеський район,Нерубайська,сільська територіальна громада,UA51100230000045500,,12.648,12.606,97.5,147653.3434,157420.7926,6.6%,34984.45754,35711.57643,20-50,2.1%,31.29343631,32.56907922,35.99,34.04,20-40,-5.4%,1.332773055,4630,0,4159.320282,1.210772613,2396.7,0,3428.090642,3465.513921,749.1,545.1,більше 200,-27.2%,2104.800543,2288.567887,540.53,467.03,більше 200,-13.6%,1173.486798,1259.418063,310.5,368.69,200-500,18.7%,8.68,10.46,6.1%,16.1%,10-20,163.1%
Полтавська область,Лубенський район,Пирятинська,міська територіальна громада,UA53040090000048649,,30.581,30.135,923.3,243853.3187,234832.1511,-3.7%,48784.66496,52315.94255,50-100,7.2%,24.00460086,26.58069735,31.09,28.58,20-40,-8.1%,0.866762323,0,2564.6,2704.993243,0.895546545,0,370.9,1357.369813,1870.280423,382.3,274.2,більше 200,-28.3%,930.8714726,978.132595,56.07,29.59,25-50,-47.2%,877.5929976,968.5921261,220.0,270.47,200-500,23.0%,17.22,14.28,17.9%,16.1%,10-20,-10.0%
Житомирська область,Житомирський район,Любарська,селищна територіальна громада,UA18040290000063354,,26.032,25.675,756.7,183773.8101,127944.4242,-30.4%,24932.79345,28096.87779,20-50,12.7%,17.58873389,28.96682644,31.36,31.57,20-40,0.7%,0.858131985,0,2730.9,2678.059672,0.830315052,0,4877.5,290.913947,301.3416542,64.2,46.8,25-50,-27.1%,426.9248178,516.0285272,7.90,4.76,менше 25,-39.7%,756.6590844,858.3223105,213.3,243.29,200-500,14.1%,13.10,15.24,18.5%,16.1%,10-20,-12.6%
Сумська область,Роменський район,Андріяшівська,сільська територіальна громада,UA59060010000042952,,8.761,8.582,605.5,76968.19788,92017.42252,19.6%,15832.68284,21585.61985,20-50,36.3%,39.38814162,36.38037087,47.6,35.58,20-40,-25.3%,0.893241992,0,152.2,2787.631038,0.996553599,0,0,43.47422365,41.7443647,9.8,6.4,менше 25,-34.4%,2043.312674,2384.215142,130.25,178.99,100-200,37.4%,1121.51665,1128.005109,254.5,358.24,200-500,40.7%,21.84,16.38,18.0%,16.2%,10-20,-9.7%
Запорізька область,Запорізький район,Вільнянська,міська територіальна громада,UA23060030000037089,,17.07,16.822,158.4,109973.5661,100506.8199,-8.6%,22472.50372,23954.14822,20-50,6.6%,23.72778029,24.47009386,26.4,22.51,20-40,-14.7%,0.944836315,0,0,2948.646683,0.987906639,0,0,243.7836366,305.224183,55.9,56.7,50-100,1.4%,691.7160131,547.6067766,116.28,66.60,50-100,-42.7%,555.7613069,654.9979076,132.1,183.12,100-200,38.6%,12.77,13.22,12.1%,16.2%,10-20,34.7%
Волинська область,Луцький район,Ківерцівська,міська територіальна громада,UA07080110000043895,,23.541,23.442,473.9,179150.0612,108941.0844,-39.2%,24425.77295,31218.00494,20-50,27.8%,13.93215301,28.49701037,26.7,26.26,20-40,-1.7%,0.644168515,0,15092.9,2010.322133,0.662564894,0,15128.2,218.8826619,285.5444721,52.8,44.5,25-50,-15.8%,460.0374549,555.964766,45.94,51.22,50-100,11.5%,536.6906966,694.4116652,165.7,227.30,200-500,37.2%,9.95,17.91,18.7%,16.3%,10-20,-12.9%
Дніпропетровська область,Дніпровський район,Новоолександрівська,сільська територіальна громада,UA12020130000022909,,10.784,10.653,252.6,141359.9544,140112.2962,-0.9%,28053.62565,30760.94219,20-50,9.7%,24.17966173,28.33886928,30.67,35.15,20-40,14.6%,1.067408426,0,0,3331.169922,1.009619011,0,0,3321.279507,4147.905461,854.5,609.5,більше 200,-28.7%,871.3984232,1064.883447,66.47,108.29,100-200,62.9%,1687.948373,2125.120669,458.4,645.41,більше 500,40.8%,15.74,15.03,15.4%,16.3%,10-20,5.7%
